customer_id,tenure,marital_status,number_of_device_registered,number_of_address,prefered_order_cat,churn
1,15.0,Single,4.0,2.0,Laptop & Accessory,0.0
2,7.0,Married,4.0,2.0,Mobile,0.0
3,27.0,Married,3.0,5.0,Laptop & Accessory,0.0
4,20.0,Divorced,4.0,7.0,Fashion,0.0
5,30.0,Single,4.0,8.0,Others,0.0
6,7.0,Divorced,4.0,2.0,Mobile,0.0
7,1.0,Divorced,6.0,3.0,Mobile,0.0
8,1.0,Single,4.0,3.0,Mobile,1.0
9,11.0,Married,4.0,2.0,Mobile,0.0
10,17.0,Married,3.0,5.0,Laptop & Accessory,0.0
11,6.0,Married,6.0,5.0,Fashion,0.0
12,16.0,Married,2.0,7.0,Laptop & Accessory,0.0
13,1.0,Divorced,4.0,5.0,Mobile,1.0
14,1.0,Divorced,5.0,7.0,Fashion,1.0
15,6.0,Married,3.0,3.0,Laptop & Accessory,0.0
16,10.0,Single,4.0,8.0,Laptop & Accessory,0.0
17,9.0,Married,5.0,1.0,Mobile,0.0
18,8.0,Divorced,4.0,3.0,Fashion,1.0
19,19.0,Married,4.0,2.0,Grocery,0.0
20,0.0,Single,1.0,2.0,Mobile,1.0
21,1.0,Single,5.0,7.0,Laptop & Accessory,1.0
22,3.0,Married,3.0,9.0,Laptop & Accessory,0.0
23,30.0,Married,1.0,5.0,Mobile,0.0
24,5.0,Single,3.0,2.0,Fashion,0.0
25,9.0,Single,4.0,2.0,Fashion,0.0
26,18.0,Single,3.0,9.0,Laptop & Accessory,0.0
27,16.0,Married,3.0,2.0,Fashion,0.0
28,0.0,Single,1.0,4.0,Mobile,1.0
29,7.0,Married,4.0,10.0,Fashion,1.0
30,1.0,Married,5.0,11.0,Fashion,1.0
31,12.0,Married,1.0,1.0,Fashion,0.0
32,30.0,Married,4.0,3.0,Fashion,0.0
33,11.0,Married,2.0,3.0,Fashion,0.0
34,0.0,Divorced,4.0,6.0,Mobile,1.0
35,0.0,Married,4.0,6.0,Mobile,1.0
36,0.0,Married,3.0,4.0,Mobile,0.0
37,24.0,Married,4.0,5.0,Grocery,0.0
38,9.0,Married,4.0,2.0,Mobile,0.0
39,0.0,Divorced,3.0,2.0,Laptop & Accessory,0.0
40,1.0,Married,4.0,11.0,Mobile,1.0
41,4.0,Married,3.0,9.0,Mobile,0.0
42,18.0,Married,4.0,4.0,Fashion,0.0
43,15.0,Married,2.0,3.0,Fashion,0.0
44,17.0,Married,4.0,8.0,Grocery,0.0
45,9.0,Married,4.0,2.0,Mobile,0.0
46,4.0,Married,4.0,7.0,Fashion,0.0
47,5.0,Married,4.0,2.0,Mobile,0.0
48,11.0,Single,2.0,5.0,Mobile,0.0
49,24.0,Single,4.0,4.0,Fashion,0.0
50,0.0,Divorced,3.0,2.0,Laptop & Accessory,0.0
51,3.0,Single,3.0,2.0,Laptop & Accessory,0.0
52,61.0,Married,4.0,6.0,Grocery,0.0
53,16.0,Married,4.0,4.0,Fashion,0.0
54,25.0,Divorced,3.0,3.0,Grocery,0.0
55,9.0,Married,4.0,5.0,Laptop & Accessory,0.0
56,8.0,Married,4.0,11.0,Laptop & Accessory,0.0
57,8.0,Married,5.0,3.0,Mobile,0.0
58,0.0,Married,4.0,2.0,Mobile,0.0
59,17.0,Married,5.0,3.0,Grocery,0.0
60,8.0,Married,5.0,3.0,Mobile,0.0
61,3.0,Single,3.0,1.0,Mobile,0.0
62,0.0,Single,3.0,2.0,Laptop & Accessory,0.0
63,4.0,Married,3.0,2.0,Mobile,0.0
64,1.0,Married,4.0,7.0,Mobile,1.0
65,1.0,Single,4.0,3.0,Mobile,1.0
66,1.0,Single,6.0,3.0,Mobile,1.0
67,0.0,Single,3.0,1.0,Laptop & Accessory,0.0
68,1.0,Single,3.0,4.0,Laptop & Accessory,0.0
69,13.0,Married,4.0,2.0,Fashion,0.0
70,5.0,Married,4.0,3.0,Laptop & Accessory,0.0
71,1.0,Single,4.0,3.0,Mobile,1.0
72,0.0,Married,3.0,2.0,Mobile,0.0
73,15.0,Single,4.0,3.0,Fashion,0.0
74,24.0,Divorced,4.0,6.0,Fashion,0.0
75,8.0,Single,5.0,3.0,Fashion,0.0
76,14.0,Married,3.0,6.0,Laptop & Accessory,0.0
77,5.0,Married,5.0,1.0,Laptop & Accessory,0.0
78,9.0,Single,4.0,3.0,Laptop & Accessory,0.0
79,1.0,Divorced,4.0,2.0,Mobile,0.0
80,0.0,Divorced,3.0,1.0,Laptop & Accessory,0.0
81,7.0,Single,3.0,1.0,Laptop & Accessory,0.0
82,6.0,Married,4.0,3.0,Laptop & Accessory,0.0
83,1.0,Single,4.0,3.0,Mobile,1.0
84,9.0,Single,4.0,1.0,Fashion,0.0
85,8.0,Married,4.0,4.0,Fashion,0.0
86,9.0,Married,3.0,4.0,Mobile,0.0
87,11.0,Single,3.0,3.0,Laptop & Accessory,0.0
88,4.0,Married,4.0,6.0,Mobile,0.0
89,25.0,Single,4.0,5.0,Grocery,0.0
90,2.0,Married,4.0,5.0,Laptop & Accessory,0.0
91,30.0,Divorced,3.0,4.0,Fashion,0.0
92,18.0,Married,5.0,5.0,Fashion,0.0
93,19.0,Single,4.0,9.0,Laptop & Accessory,0.0
94,9.0,Married,3.0,4.0,Mobile,0.0
95,8.0,Married,3.0,4.0,Laptop & Accessory,0.0
96,0.0,Single,1.0,2.0,Mobile,1.0
97,8.0,Single,3.0,2.0,Fashion,0.0
98,4.0,Married,2.0,2.0,Fashion,0.0
99,0.0,Single,4.0,2.0,Laptop & Accessory,1.0
100,2.0,Single,4.0,2.0,Fashion,0.0
101,4.0,Married,5.0,5.0,Mobile,1.0
102,19.0,Married,3.0,6.0,Others,0.0
103,19.0,Married,3.0,9.0,Mobile,1.0
104,14.0,Married,6.0,4.0,Laptop & Accessory,0.0
105,15.0,Divorced,4.0,9.0,Grocery,0.0
106,5.0,Married,3.0,2.0,Laptop & Accessory,0.0
107,1.0,Single,2.0,2.0,Mobile,0.0
108,8.0,Married,3.0,2.0,Mobile,0.0
109,21.0,Single,4.0,5.0,Laptop & Accessory,0.0
