customer_id,warehouse_to_home,satisfaction_score,complain,day_since_last_order,cashback_amount
1,29.0,3.0,0.0,7.0,143.32
2,25.0,1.0,0.0,7.0,129.29
3,13.0,1.0,0.0,7.0,168.54
4,25.0,3.0,0.0,3.0,230.27
5,15.0,4.0,0.0,8.0,322.17
6,16.0,2.0,0.0,11.0,152.81
7,15.0,5.0,0.0,2.0,149.51
8,11.0,5.0,0.0,1.0,154.73
9,12.0,3.0,0.0,4.0,137.02
10,7.0,1.0,1.0,2.0,157.43
11,26.0,3.0,0.0,3.0,221.1
12,20.0,5.0,0.0,1.0,180.38
13,7.0,3.0,0.0,3.0,154.09
14,7.0,3.0,0.0,3.0,231.08999999999997
15,14.0,5.0,0.0,2.0,163.92
16,8.0,3.0,0.0,1.0,193.15
17,21.0,1.0,1.0,3.0,121.68
18,22.0,2.0,0.0,6.0,204.78
19,27.0,1.0,1.0,11.0,259.96
20,18.0,4.0,0.0,0.0,127.16
21,33.0,5.0,0.0,2.0,191.96
22,22.0,3.0,0.0,2.0,153.01
23,9.0,5.0,1.0,0.0,126.69999999999999
24,14.0,1.0,0.0,7.0,189.98
25,12.0,4.0,0.0,14.0,205.95
26,26.0,3.0,0.0,1.0,148.5
27,17.0,3.0,0.0,9.0,175.1
28,14.0,3.0,1.0,3.0,124.32
29,6.0,5.0,0.0,6.0,204.82
30,17.0,5.0,0.0,3.0,228.06
31,6.0,1.0,0.0,7.0,196.13
32,11.0,4.0,1.0,4.0,205.52
33,17.0,1.0,1.0,9.0,262.44
34,14.0,4.0,0.0,1.0,125.46000000000001
35,14.0,1.0,0.0,3.0,123.66999999999999
36,14.0,5.0,0.0,0.0,123.22
37,31.0,3.0,1.0,6.0,264.73
38,6.0,5.0,0.0,2.0,122.18
39,9.0,5.0,1.0,3.0,141.94
40,7.0,1.0,1.0,3.0,172.87
41,18.0,1.0,1.0,2.0,139.29
42,7.0,3.0,0.0,4.0,207.48000000000002
43,7.0,5.0,0.0,8.0,208.92
44,21.0,5.0,0.0,1.0,296.59
45,7.0,3.0,0.0,0.0,120.08000000000001
46,15.0,3.0,0.0,8.0,197.64
47,9.0,1.0,1.0,3.0,151.95
48,17.0,1.0,0.0,1.0,171.8
49,6.0,5.0,0.0,8.0,174.84
50,6.0,3.0,0.0,7.0,152.96
51,6.0,1.0,0.0,7.0,140.11
52,28.0,1.0,1.0,1.0,303.75
53,9.0,1.0,1.0,3.0,226.24
54,10.0,2.0,0.0,4.0,265.55
55,22.0,5.0,0.0,2.0,156.47
56,8.0,1.0,0.0,2.0,179.84
57,33.0,3.0,0.0,1.0,145.29
58,14.0,4.0,0.0,3.0,123.68
59,19.0,4.0,0.0,10.0,268.36
60,26.0,1.0,0.0,8.0,154.29
61,14.0,1.0,0.0,7.0,125.63999999999999
62,8.0,3.0,1.0,4.0,144.78
63,32.0,3.0,0.0,3.0,129.11
64,10.0,5.0,0.0,3.0,165.31
65,16.0,1.0,0.0,1.0,135.81
66,31.0,1.0,1.0,1.0,148.4
67,16.0,2.0,0.0,1.0,149.5
68,16.0,3.0,0.0,7.0,136.6
69,21.0,3.0,0.0,12.0,204.35
70,12.0,3.0,0.0,3.0,208.46
71,11.0,5.0,0.0,1.0,154.73
72,14.0,3.0,0.0,3.0,125.16999999999999
73,13.0,3.0,0.0,3.0,217.41
74,14.0,4.0,0.0,3.0,224.89999999999998
75,16.0,4.0,0.0,3.0,211.21
76,14.0,4.0,0.0,4.0,143.93
77,15.0,1.0,0.0,7.0,146.68
78,11.0,3.0,1.0,2.0,167.49
79,31.0,2.0,0.0,2.0,149.0
80,6.0,4.0,1.0,4.0,163.49
81,8.0,5.0,1.0,2.0,145.38
82,12.0,4.0,0.0,4.0,190.24
83,10.0,1.0,1.0,1.0,140.69
84,18.0,2.0,0.0,8.0,188.58
85,11.0,1.0,1.0,3.0,222.13
86,6.0,1.0,0.0,2.0,122.69999999999999
87,22.0,4.0,0.0,2.0,141.98
88,10.0,1.0,0.0,5.0,145.97
89,10.0,4.0,0.0,1.0,262.34
90,19.0,4.0,1.0,3.0,140.25
91,6.0,2.0,1.0,3.0,219.04000000000002
92,10.0,3.0,0.0,3.0,197.56
93,32.0,4.0,0.0,2.0,179.91
94,15.0,1.0,0.0,3.0,120.75
95,23.0,5.0,1.0,7.0,189.66
96,30.0,5.0,0.0,0.0,110.91
97,32.0,1.0,1.0,7.0,188.37
98,15.0,5.0,1.0,8.0,239.16000000000003
99,35.0,3.0,0.0,8.0,145.08
100,23.0,5.0,0.0,9.0,179.88
101,8.0,1.0,1.0,0.0,127.78
102,21.0,4.0,0.0,3.0,290.81
103,14.0,3.0,0.0,8.0,123.38999999999999
104,7.0,1.0,1.0,3.0,199.57
105,9.0,5.0,0.0,9.0,290.95
106,11.0,4.0,0.0,3.0,165.24
107,14.0,5.0,0.0,8.0,160.78
108,14.0,3.0,0.0,0.0,124.03999999999999
109,11.0,3.0,0.0,1.0,154.76
110,7.0,3.0,1.0,3.0,153.0
111,12.0,3.0,0.0,7.0,128.38
112,16.0,1.0,0.0,10.0,162.3
113,14.0,1.0,0.0,0.0,124.06
114,10.0,3.0,1.0,3.0,141.62
115,10.0,3.0,1.0,14.0,262.7
116,9.0,1.0,0.0,5.0,151.62
117,14.0,5.0,0.0,0.0,151.21
118,15.0,5.0,1.0,1.0,190.16
119,9.0,1.0,1.0,1.0,152.78
120,14.0,3.0,0.0,3.0,148.29
121,15.0,2.0,0.0,5.0,174.36
122,7.0,2.0,0.0,9.0,152.2
123,12.0,1.0,1.0,2.0,56.0
124,20.0,4.0,0.0,7.0,199.24
125,6.0,3.0,0.0,5.0,261.84
126,15.0,1.0,0.0,5.0,174.36
127,9.0,4.0,0.0,3.0,146.87
128,15.0,3.0,1.0,7.0,181.89
129,10.0,1.0,1.0,1.0,140.69
130,11.0,2.0,0.0,3.0,137.61
131,9.0,2.0,0.0,3.0,157.12
132,20.0,5.0,1.0,3.0,186.34
133,16.0,1.0,0.0,0.0,146.48
134,14.0,5.0,1.0,0.0,165.16
135,8.0,2.0,1.0,5.0,165.82
136,14.0,2.0,0.0,1.0,124.0
137,32.0,4.0,1.0,3.0,148.13
138,11.0,5.0,0.0,3.0,324.43
139,26.0,3.0,1.0,2.0,145.59
140,8.0,3.0,1.0,0.0,120.9
141,11.0,2.0,0.0,3.0,227.31
142,15.0,5.0,0.0,5.0,154.5
143,25.0,3.0,1.0,2.0,127.59
144,14.0,3.0,0.0,2.0,125.38999999999999
145,6.0,5.0,0.0,7.0,204.53
146,14.0,5.0,0.0,2.0,124.5
147,12.0,3.0,1.0,5.0,123.06
148,9.0,1.0,0.0,0.0,117.06
149,20.0,5.0,1.0,1.0,148.35
150,13.0,2.0,0.0,1.0,146.78
151,10.0,3.0,0.0,8.0,165.84
152,11.0,3.0,0.0,3.0,190.38
153,7.0,3.0,1.0,3.0,229.64999999999998
154,16.0,3.0,0.0,3.0,148.77
155,22.0,3.0,0.0,4.0,121.44
156,14.0,3.0,0.0,10.0,159.91
157,30.0,2.0,0.0,1.0,284.92
158,12.0,4.0,1.0,3.0,149.78
159,23.0,3.0,1.0,1.0,201.32
160,26.0,1.0,0.0,10.0,138.12
161,14.0,4.0,0.0,7.0,140.71
162,14.0,3.0,0.0,1.0,186.32
163,14.0,1.0,0.0,0.0,123.80000000000001
164,9.0,4.0,0.0,3.0,284.72
